sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0465,DJI_20260602140310_0465_V.JPG,DJI_20260602140310_0465_T.JPG,yes,yes,
0466,DJI_20260602140311_0466_V.JPG,DJI_20260602140311_0466_T.JPG,yes,yes,
0467,DJI_20260602140311_0467_V.JPG,DJI_20260602140312_0467_T.JPG,yes,yes,
0468,DJI_20260602140312_0468_V.JPG,DJI_20260602140312_0468_T.JPG,yes,yes,
0469,DJI_20260602140313_0469_V.JPG,DJI_20260602140313_0469_T.JPG,yes,yes,
0470,DJI_20260602140314_0470_V.JPG,DJI_20260602140314_0470_T.JPG,yes,yes,
0471,DJI_20260602140314_0471_V.JPG,DJI_20260602140314_0471_T.JPG,yes,yes,
0472,DJI_20260602140315_0472_V.JPG,DJI_20260602140315_0472_T.JPG,yes,yes,
0473,DJI_20260602140316_0473_V.JPG,DJI_20260602140316_0473_T.JPG,yes,yes,
0474,DJI_20260602140316_0474_V.JPG,DJI_20260602140317_0474_T.JPG,yes,yes,
0475,DJI_20260602140317_0475_V.JPG,DJI_20260602140317_0475_T.JPG,yes,yes,
0476,DJI_20260602140318_0476_V.JPG,DJI_20260602140318_0476_T.JPG,yes,yes,
0477,DJI_20260602140318_0477_V.JPG,DJI_20260602140319_0477_T.JPG,yes,yes,
0478,DJI_20260602140319_0478_V.JPG,DJI_20260602140319_0478_T.JPG,yes,yes,
0479,DJI_20260602140320_0479_V.JPG,DJI_20260602140320_0479_T.JPG,yes,yes,
0480,DJI_20260602140321_0480_V.JPG,DJI_20260602140321_0480_T.JPG,yes,yes,
0481,DJI_20260602140321_0481_V.JPG,DJI_20260602140321_0481_T.JPG,yes,yes,
0482,DJI_20260602140322_0482_V.JPG,DJI_20260602140322_0482_T.JPG,yes,yes,
0483,DJI_20260602140323_0483_V.JPG,DJI_20260602140323_0483_T.JPG,yes,yes,
0484,DJI_20260602140323_0484_V.JPG,DJI_20260602140324_0484_T.JPG,yes,yes,
0485,DJI_20260602140324_0485_V.JPG,DJI_20260602140324_0485_T.JPG,yes,yes,
0486,DJI_20260602140325_0486_V.JPG,DJI_20260602140325_0486_T.JPG,yes,yes,
0487,DJI_20260602140325_0487_V.JPG,DJI_20260602140326_0487_T.JPG,yes,yes,
0488,DJI_20260602140326_0488_V.JPG,DJI_20260602140326_0488_T.JPG,yes,yes,
0489,DJI_20260602140327_0489_V.JPG,DJI_20260602140327_0489_T.JPG,yes,yes,
0490,DJI_20260602140328_0490_V.JPG,DJI_20260602140328_0490_T.JPG,yes,yes,
0491,DJI_20260602140328_0491_V.JPG,DJI_20260602140328_0491_T.JPG,yes,yes,
0492,DJI_20260602140329_0492_V.JPG,DJI_20260602140329_0492_T.JPG,yes,yes,
0493,DJI_20260602140330_0493_V.JPG,DJI_20260602140330_0493_T.JPG,yes,yes,
0494,DJI_20260602140330_0494_V.JPG,DJI_20260602140331_0494_T.JPG,yes,yes,
0495,DJI_20260602140331_0495_V.JPG,DJI_20260602140331_0495_T.JPG,yes,yes,
0496,DJI_20260602140332_0496_V.JPG,DJI_20260602140332_0496_T.JPG,yes,yes,
0497,DJI_20260602140332_0497_V.JPG,DJI_20260602140333_0497_T.JPG,yes,yes,
0498,DJI_20260602140333_0498_V.JPG,DJI_20260602140333_0498_T.JPG,yes,yes,
0499,DJI_20260602140334_0499_V.JPG,DJI_20260602140334_0499_T.JPG,yes,yes,
0500,DJI_20260602140335_0500_V.JPG,DJI_20260602140335_0500_T.JPG,yes,yes,
0501,DJI_20260602140335_0501_V.JPG,DJI_20260602140335_0501_T.JPG,yes,yes,
0502,DJI_20260602140336_0502_V.JPG,DJI_20260602140336_0502_T.JPG,yes,yes,
0503,DJI_20260602140337_0503_V.JPG,DJI_20260602140337_0503_T.JPG,yes,yes,
0504,DJI_20260602140337_0504_V.JPG,DJI_20260602140338_0504_T.JPG,yes,yes,
0505,DJI_20260602140338_0505_V.JPG,DJI_20260602140338_0505_T.JPG,yes,yes,
0506,DJI_20260602140339_0506_V.JPG,DJI_20260602140339_0506_T.JPG,yes,yes,
0507,DJI_20260602140339_0507_V.JPG,DJI_20260602140340_0507_T.JPG,yes,yes,
0508,DJI_20260602140340_0508_V.JPG,DJI_20260602140340_0508_T.JPG,yes,yes,
